title,link,image,lprice,hprice,mall_name,product_id,brand,maker,category1,category2,category3,category4,search_keyword,capacity,brand_type,price_range,detailed_price
"스탠리 스탠리1913 퀜처 프로투어 플립 스트로 텀블러 1.18L, 피스타치오",https://search.shopping.naver.com/catalog/56497613607,https://shopping-phinf.pstatic.net/main_5649761/56497613607.20250829101159.jpg,69000,0,네이버,56497613607,스탠리1913,스탠리,생활/건강,주방용품,잔/컵,텀블러,텀블러,1180.0,유명브랜드,5만원 이상,5만+
써모스 데일리 원터치 파우더 보틀 350ml,https://search.shopping.naver.com/catalog/51139576618,https://shopping-phinf.pstatic.net/main_5113957/51139576618.20241031115422.jpg,36070,0,네이버,51139576618,써모스,써모스,생활/건강,주방용품,잔/컵,텀블러,텀블러,350.0,유명브랜드,3-5만원,3-5만
"오덴세 레고트 루프 텀블러 400ml, 스윗펌킨",https://search.shopping.naver.com/catalog/53531211601,https://shopping-phinf.pstatic.net/main_5353121/53531211601.20250313164540.jpg,29100,0,네이버,53531211601,오덴세,,생활/건강,주방용품,잔/컵,텀블러,텀블러,400.0,기타/노브랜드,2-3만원,2.5-3만
"킨토 워터 보틀 300ml, 1개",https://search.shopping.naver.com/catalog/52778589441,https://shopping-phinf.pstatic.net/main_5277858/52778589441.20250203104359.jpg,13400,0,네이버,52778589441,킨토,킨토,생활/건강,주방용품,잔/컵,텀블러,텀블러,300.0,기타/노브랜드,1-2만원,1-1.5만
"스탠리 카페 투고 트래블 머그 591ml, 블랙2.0",https://smartstore.naver.com/main/products/11839874145,https://shopping-phinf.pstatic.net/main_8938438/89384384739.1.jpg,49000,0,스탠리 코리아,89384384739,스탠리1913,스탠리,생활/건강,주방용품,잔/컵,텀블러,텀블러,591.0,유명브랜드,3-5만원,3-5만
"스타벅스 매트 엘마 텀블러 473ml, 블랙",https://search.shopping.naver.com/catalog/52340285654,https://shopping-phinf.pstatic.net/main_5234028/52340285654.20250107164543.jpg,33600,0,네이버,52340285654,스타벅스,,생활/건강,주방용품,잔/컵,텀블러,텀블러,473.0,기타/노브랜드,3-5만원,3-5만
캐나다 아소부 세라믹코팅 스텐 보온보냉 퓨라믹 텀블러 커피익스프레스 360ml,https://smartstore.naver.com/main/products/9222916782,https://shopping-phinf.pstatic.net/main_8676741/86767417105.8.jpg,22900,0,asobu다이렉트몰,86767417105,아소부,아소부,생활/건강,주방용품,잔/컵,텀블러,텀블러,360.0,기타/노브랜드,2-3만원,2-2.5만
[스타벅스] SS 스탠리 시그니처 켄처 텀블러 591ml,https://smartstore.naver.com/main/products/12298998015,https://shopping-phinf.pstatic.net/main_8984350/89843508731.1.jpg,47000,0,스타벅스,89843508731,스타벅스,,생활/건강,주방용품,잔/컵,텀블러,텀블러,591.0,기타/노브랜드,3-5만원,3-5만
"스탠리 아이스플로우 플립 스트로 2.0 텀블러 887ml, 듀 드롭",https://smartstore.naver.com/main/products/12405621697,https://shopping-phinf.pstatic.net/main_8995013/89950132422.jpg,49000,0,스탠리 코리아,89950132422,스탠리1913,스탠리,생활/건강,주방용품,잔/컵,텀블러,텀블러,887.0,유명브랜드,3-5만원,3-5만
스탠리 고 진공 텀블러 머그컵 보온 보냉 컵,https://smartstore.naver.com/main/products/8394406911,https://shopping-phinf.pstatic.net/main_8593890/85938907234.1.jpg,36600,0,치포마켓,85938907234,스탠리,,생활/건강,주방용품,잔/컵,텀블러,텀블러,,유명브랜드,3-5만원,3-5만
